Issue_ID;Asset_Type;Asset_Name;Language;Timecode_In;Timecode_Out;Category;Severity;Original_Text;Localized_Text;Issue_Description;Expected_Result;Actual_Result;Status;Notes
VIDQA_001;In-game capture;Video Localization QA Pipeline Demo;EN;00:07;00:08;Terminology / Clarity;Minor;Wwise audio culture;;"The phrase ""Wwise audio culture"" is unclear and does not accurately describe the localization setting being referenced.";"Use ""Wwise language settings"" or a clearer localization-related term.";"""Wwise audio culture"" appears on screen.";Open;Terminology should be clear for localization QA review.
VIDQA_002;In-game capture;Video Localization QA Pipeline Demo;EN;00:07;00:08;Typo / Spelling;Major;Unrel;;"The word ""Unrel"" appears instead of ""Unreal"".";"Use the correct engine name: ""Unreal"".";"""Unrel"" appears on screen.";Open;Visible typo in main demo overview text.
VIDQA_003;In-game capture;Video Localization QA Pipeline Demo;EN;00:10;00:12;Typo / Spelling;Major;Language Swiching;;The UI heading contains a spelling mistake.;"Use ""Language Switching"".";"""Language Swiching"" appears on screen.";Open;Visible typo in section heading.
VIDQA_004;In-game capture;Video Localization QA Pipeline Demo;Mixed;00:13;00:16;Wrong Language / Mixed Language + Text Overflow;Major;Explora cada estación / Cambiar idioma / Test UI & ambience sounds;;The instruction panel mixes English and Spanish text, and the final line overflows outside the panel.;All text should be consistently localized for the selected language and remain fully visible within the UI panel.;Mixed English/Spanish text appears, and the final word overflows outside the panel.;Open;Covers both localization consistency and display QA.
VIDQA_005;In-game capture;Video Localization QA Pipeline Demo;EN;00:20;00:22;Terminology / UI Label Consistency;Minor;Complain;;The dialogue category label uses a verb instead of a noun, unlike the other category labels.;"Use ""Complaint"" for category consistency.";"""Complain"" appears as a dialogue category label.";Open;Other labels use category nouns such as Greeting, Work, Reaction, and Idle.
VIDQA_006;Subtitle;Video Localization QA Pipeline Demo;EN;00:20;00:23;Subtitle Mismatch / Accuracy;Major;Working on something important.;Working on something very important.;"The subtitle adds the word ""very"", which is not present in the spoken line.";"Subtitle should match the spoken line: ""Working on something important.""";"""Working on something very important."" appears as subtitle.";Open;Subtitle does not accurately match the audio.
VIDQA_007;Subtitle;Video Localization QA Pipeline Demo;EN;00:25;00:28;Subtitle Formatting / Punctuation;Minor;You seem distracted… / Just thinking out loud.;You seem distracted... / Just thinking out loud;Subtitle punctuation is inconsistent: ellipsis style is changed and final punctuation is missing.;You seem distracted… / Just thinking out loud.;You seem distracted... / Just thinking out loud;Open;Formatting consistency issue in subtitle text.
VIDQA_008;Subtitle;Video Localization QA Pipeline Demo;ES;00:37;00:40;Reading Speed / Subtitle Length + Text Overflow;Major;Creo que se ha roto otra vez.;Creo que se ha roto otra vez, no sé qué pasa con este sistema ahora mismo.;The subtitle is significantly longer than the spoken line, exceeds comfortable reading speed, and overflows outside the visible screen area.;"Use the shorter subtitle matching the spoken line: ""Creo que se ha roto otra vez.""";"""Creo que se ha roto otra vez, no sé qué pasa con este sistema ahora mismo."" appears and does not fit on screen.";Open;Combines subtitle readability and display bug.
VIDQA_009;In-game capture;Video Localization QA Pipeline Demo;EN;00:44;00:47;Typo / Spelling;Major;LANGUAGE SWICH FEEDBACK;;The UI title contains a spelling mistake.;"Use ""LANGUAGE SWITCH FEEDBACK"".";"""LANGUAGE SWICH FEEDBACK"" appears on screen.";Open;Visible typo in UI heading.
VIDQA_010;In-game capture;Video Localization QA Pipeline Demo;EN;00:44;00:47;Typo / Spelling;Major;switching languaje;;The subtitle/description contains a spelling mistake.;"Use ""switching language"".";"""switching languaje"" appears on screen.";Open;Visible typo in UI description.
VIDQA_011;In-game capture;Video Localization QA Pipeline Demo;EN;00:44;00:47;Terminology / Clarity;Minor;feedback sound;;"The term ""feedback sound"" is less clear in this context than ""confirmation sound"".";"Use ""confirmation sound"" for clearer UI terminology.";"""feedback sound"" appears in the UI description.";Open;"Suggested full line: ""Select the confirmation sound used when switching language."""
VIDQA_012;In-game capture;Video Localization QA Pipeline Demo;EN;00:48;00:50;Typo / Spelling;Major;Switch bitween simple background ambience beds;;The UI description contains a spelling mistake.;"Use ""Switch between simple background ambience beds"".";"""Switch bitween simple background ambience beds"" appears on screen.";Open;Visible typo in Basic Ambience description.
VIDQA_013;In-game capture;Video Localization QA Pipeline Demo;EN;00:58;01:01;Display / Visual Consistency;Minor;Street AMB yellow button;;"The ""Street AMB"" button uses a yellow visual style that is inconsistent with the other ambience buttons.";All ambience buttons should keep the same visual style unless color indicates a clear documented state.;"""Street AMB"" appears in yellow while the other ambience buttons use a different style.";Open;Visual consistency issue.
VIDQA_014;In-game capture;Video Localization QA Pipeline Demo;EN;01:02;01:09;Naming Consistency / UI Label Consistency;Minor;Stop ambience;;The button label breaks naming consistency with the other ambience buttons.;"Use ""Stop AMB"" or apply a standardized naming convention across all ambience buttons.";"""Stop ambience"" appears while the other buttons use ""Forest AMB"", ""Room AMB"", and ""Street AMB"".";Open;Naming convention should be consistent across related UI controls.
